start_time=2026-06-30T18:18:25+08:00
variant=baseline seed=0 root=outputs/tuned_compare_baseline_nenv16_seed0_1m timesteps=1000000 horizon=1500 n_envs=16 episodes=50 device=cuda extra_args=--ent-coef 0.01 --reward-cost 50 --reward-overspeed 3 --reward-target-speed 18 --reward-progress 40 --reward-lane 1.0 --reward-success-bonus 55 --reward-crash-penalty 120 --reward-out-of-road-penalty 150 --stage2-success 0.50 --stage2-cost 0.25 --demote-cost 0.35
/home/aaa/data/qj/stable-baselines3-master/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Using cuda device
Logging to outputs/tuned_compare_baseline_nenv16_seed0_1m/runs/baseline_ppo_s0/tensorboard/baseline_ppo_s0_1
------------------------------
| time/              |       |
|    loss                 | -0.0459     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0254     |
|    std                  | 0.954       |
|    value_loss           | 0.023       |
-----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.671       |
|    base_reward          | 8.85        |
|    collision            | 0           |
|    crash_object         | 0           |
|    crash_vehicle        | 0           |
|    episode_cost         | 1           |
|    episode_length       | 1265        |
|    jerk                 | 0.543       |
|    lane_deviation       | 0.813       |
|    max_lane_deviation   | 2           |
|    mean_speed_kmh       | 1.46        |
|    min_ttc              | 34.2        |
|    out_of_road          | 1           |
|    route_completion     | 0.0844      |
|    shaped_reward        | 8.85        |
|    steering_variation   | 0.834       |
|    success              | 0           |
|    ttc_risk             | 0           |
| rollout/                |             |
|    ep_len_mean          | 1.34e+03    |
|    ep_rew_mean          | 12.9        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1213        |
|    iterations           | 4           |
|    time_elapsed         | 54          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.012270229 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.72       |
|    explained_variance   | 0.0319      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0277     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00723    |
|    std                  | 0.942       |
|    value_loss           | 0.202       |
-----------------------------------------
------------------------------------------
| paper/                  |              |
|    accel_variation      | 0.676        |
|    base_reward          | -4.01        |
|    collision            | 0            |
|    crash_object         | 0            |
|    crash_vehicle        | 0            |
|    episode_cost         | 1            |
|    episode_length       | 735          |
|    jerk                 | 0.532        |
|    lane_deviation       | 1.57         |
|    max_lane_deviation   | 2            |
|    mean_speed_kmh       | 1.64         |
|    min_ttc              | nan          |
|    out_of_road          | 1            |
|    route_completion     | 0.0542       |
|    shaped_reward        | -4.01        |
|    steering_variation   | 0.836        |
|    success              | 0            |
|    ttc_risk             | 0            |
| rollout/                |              |
|    ep_len_mean          | 1.26e+03     |
|    ep_rew_mean          | 12.7         |
|    success_rate         | 0            |
| time/                   |              |
|    fps                  | 1152         |
|    iterations           | 5            |
|    time_elapsed         | 71           |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0084697595 |
|    clip_fraction        | 0.0878       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.7         |
|    explained_variance   | 0.264        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0643       |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0027      |
|    std                  | 0.929        |
|    value_loss           | 0.488        |
------------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.561       |
|    base_reward          | 7.71        |
|    collision            | 0           |
|    crash_object         | 0           |
|    crash_vehicle        | 0           |
|    episode_cost         | 1           |
|    episode_length       | 275         |
|    jerk                 | 0.427       |
|    lane_deviation       | 0.212       |
|    max_lane_deviation   | 1.05        |
|    mean_speed_kmh       | 3.39        |
|    min_ttc              | nan         |
|    out_of_road          | 1           |
|    route_completion     | 0.058       |
|    shaped_reward        | 7.71        |
|    steering_variation   | 0.894       |
|    success              | 0           |
|    ttc_risk             | 0           |
| rollout/                |             |
|    ep_len_mean          | 1.07e+03    |
|    ep_rew_mean          | 10.5        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1080        |
|    iterations           | 6           |
|    time_elapsed         | 90          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.010425295 |
|    clip_fraction        | 0.0924      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.68       |
|    explained_variance   | 0.464       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.238       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00171    |
|    std                  | 0.924       |
|    value_loss           | 0.588       |
-----------------------------------------
------------------------------------------
| paper/                  |              |
|    accel_variation      | 0.554        |
|    base_reward          | -0.563       |
|    collision            | 0            |
|    crash_object         | 0            |
|    crash_vehicle        | 0            |
|    episode_cost         | 1            |
|    episode_length       | 832          |
|    jerk                 | 0.436        |
|    lane_deviation       | 1.48         |
|    max_lane_deviation   | 2            |
|    mean_speed_kmh       | 3.07         |
|    min_ttc              | nan          |
|    out_of_road          | 1            |
|    route_completion     | 0.124        |
|    shaped_reward        | -0.563       |
|    steering_variation   | 0.826        |
|    success              | 0            |
|    ttc_risk             | 0            |
| rollout/                |              |
|    ep_len_mean          | 904          |
|    ep_rew_mean          | 9.7          |
|    success_rate         | 0            |
| time/                   |              |
|    fps                  | 1030         |
|    iterations           | 7            |
|    time_elapsed         | 111          |
|    total_timesteps      | 114688       |
| train/                  |              |
|    approx_kl            | 0.0055449274 |
|    clip_fraction        | 0.0622       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.67        |
|    explained_variance   | 0.62         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.321        |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00196     |
|    std                  | 0.921        |
|    value_loss           | 0.764        |
------------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.579       |
|    base_reward          | 0.29        |
|    collision            | 0           |
|    crash_object         | 0           |
|    crash_vehicle        | 0           |
|    episode_cost         | 1           |
|    episode_length       | 435         |
|    jerk                 | 0.471       |
|    lane_deviation       | 1.25        |
|    max_lane_deviation   | 2           |
|    mean_speed_kmh       | 2.29        |
|    min_ttc              | nan         |
|    out_of_road          | 1           |
|    route_completion     | 0.0485      |
|    shaped_reward        | 0.29        |
|    steering_variation   | 0.815       |
|    success              | 0           |
|    ttc_risk             | 0           |
| rollout/                |             |
|    ep_len_mean          | 781         |
|    ep_rew_mean          | 8           |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1019        |
|    iterations           | 8           |
|    time_elapsed         | 128         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.005966906 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 0.731       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.369       |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00225    |
|    std                  | 0.927       |
|    value_loss           | 1.03        |
-----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.613       |
|    base_reward          | 16.6        |
|    collision            | 0           |
|    crash_object         | 0           |
|    crash_vehicle        | 0           |
|    episode_cost         | 0           |
|    episode_length       | 1500        |
|    jerk                 | 0.488       |
|    lane_deviation       | 1.05        |
|    max_lane_deviation   | 2           |
|    mean_speed_kmh       | 2.35        |
|    min_ttc              | 0.0733      |
|    out_of_road          | 0           |
|    route_completion     | 0.138       |
|    shaped_reward        | 16.6        |
|    steering_variation   | 0.819       |
|    success              | 0           |
|    ttc_risk             | 0.0122      |
| rollout/                |             |
|    ep_len_mean          | 790         |
|    ep_rew_mean          | 9.23        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1015        |
|    iterations           | 9           |
|    time_elapsed         | 145         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.009817129 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 0.813       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.102       |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.00287    |
|    std                  | 0.92        |
|    value_loss           | 0.56        |
-----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.522       |
|    base_reward          | 29.8        |
|    collision            | 0           |
|    crash_object         | 0           |
|    crash_vehicle        | 0           |
|    episode_cost         | 0           |
|    episode_length       | 1500        |
|    jerk                 | 0.43        |
|    lane_deviation       | 0.888       |
|    max_lane_deviation   | 1.55        |
|    mean_speed_kmh       | 2.07        |
|    min_ttc              | 22.5        |
|    out_of_road          | 0           |
|    route_completion     | 0.141       |
|    shaped_reward        | 29.8        |
|    steering_variation   | 0.816       |
|    success              | 0           |
|    ttc_risk             | 0           |
| rollout/                |             |
|    ep_len_mean          | 802         |
|    ep_rew_mean          | 10.8        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1012        |
|    iterations           | 10          |
|    time_elapsed         | 161         |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.011528578 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.65       |
|    explained_variance   | 0.861       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0754      |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00582    |
|    std                  | 0.914       |
|    value_loss           | 0.486       |
-----------------------------------------
----------------------------------------
| paper/                  |            |
|    accel_variation      | 0.515      |
|    base_reward          | 35.1       |
|    collision            | 0          |
|    crash_object         | 0          |
|    crash_vehicle        | 0          |
|    episode_cost         | 1          |
|    episode_length       | 965        |
|    jerk                 | 0.414      |
|    lane_deviation       | 0.525      |
|    max_lane_deviation   | 1.49       |
|    mean_speed_kmh       | 3.9        |
|    min_ttc              | 28.7       |
|    out_of_road          | 1          |
|    route_completion     | 0.195      |
|    shaped_reward        | 35.1       |
|    steering_variation   | 0.79       |
|    success              | 0          |
|    ttc_risk             | 0          |
| rollout/                |            |
|    ep_len_mean          | 881        |
|    ep_rew_mean          | 19.2       |
|    success_rate         | 0          |
| time/                   |            |
|    fps                  | 1024       |
|    iterations           | 11         |
|    time_elapsed         | 175        |
|    total_timesteps      | 180224     |
| train/                  |            |
|    approx_kl            | 0.01332193 |
|    clip_fraction        | 0.148      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.61      |
|    explained_variance   | 0.813      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.224      |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.00727   |
|    std                  | 0.891      |
|    value_loss           | 0.675      |
----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.472       |
|    base_reward          | 111         |
|    collision            | 0           |
|    crash_object         | 0           |
|    crash_vehicle        | 0           |
|    episode_cost         | 0           |
|    episode_length       | 1500        |
|    jerk                 | 0.39        |
|    lane_deviation       | 0.717       |
|    max_lane_deviation   | 2           |
|    mean_speed_kmh       | 5.1         |
|    min_ttc              | 0.145       |
|    out_of_road          | 0           |
|    route_completion     | 0.495       |
|    shaped_reward        | 111         |
|    steering_variation   | 0.789       |
|    success              | 0           |
|    ttc_risk             | 0.0246      |
| rollout/                |             |
|    ep_len_mean          | 963         |
|    ep_rew_mean          | 31.5        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 1026        |
|    iterations           | 12          |
|    time_elapsed         | 191         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.014054609 |
|    clip_fraction        | 0.17        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.54       |
|    explained_variance   | 0.809       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.416       |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.011      |
|    std                  | 0.858       |
|    value_loss           | 0.785       |
-----------------------------------------
----------------------------------------
| paper/                  |            |
|    accel_variation      | 0.357      |
|    base_reward          | 245        |
|    collision            | 0          |
|    crash_object         | 0          |
|    crash_vehicle        | 0          |
|    episode_cost         | 0          |
|    episode_length       | 1500       |
|    jerk                 | 0.315      |
|    lane_deviation       | 0.386      |
|    max_lane_deviation   | 1.37       |
|    mean_speed_kmh       | 9.24       |
|    min_ttc              | 3.06       |
|    out_of_road          | 0          |
|    route_completion     | 0.744      |
|    shaped_reward        | 245        |
|    steering_variation   | 0.741      |
|    success              | 0          |
|    ttc_risk             | 0.0027     |
| rollout/                |            |
|    ep_len_mean          | 1.02e+03   |
|    ep_rew_mean          | 52.6       |
|    success_rate         | 0          |
| time/                   |            |
|    fps                  | 1017       |
|    iterations           | 13         |
|    time_elapsed         | 209        |
|    total_timesteps      | 212992     |
| train/                  |            |
|    approx_kl            | 0.01502317 |
|    clip_fraction        | 0.179      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.45      |
|    explained_variance   | 0.57       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.473      |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.0142    |
|    std                  | 0.817      |
|    value_loss           | 0.954      |
----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.303       |
|    base_reward          | 331         |
|    collision            | 0           |
|    crash_object         | 0           |
|    crash_vehicle        | 0           |
|    episode_cost         | 0           |
|    episode_length       | 1500        |
|    jerk                 | 0.264       |
|    lane_deviation       | 0.354       |
|    max_lane_deviation   | 0.998       |
|    mean_speed_kmh       | 12.2        |
|    min_ttc              | 1.28        |
|    out_of_road          | 0           |
|    route_completion     | 0.98        |
|    shaped_reward        | 331         |
|    steering_variation   | 0.71        |
|    success              | 0           |
|    ttc_risk             | 0.0121      |
| rollout/                |             |
|    ep_len_mean          | 1.11e+03    |
|    ep_rew_mean          | 82.2        |
|    success_rate         | 0.01        |
| time/                   |             |
|    fps                  | 1003        |
|    iterations           | 14          |
|    time_elapsed         | 228         |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.014218282 |
|    clip_fraction        | 0.137       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.37       |
|    explained_variance   | 0.532       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.928       |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00867    |
|    std                  | 0.782       |
|    value_loss           | 1.91        |
-----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.297       |
|    base_reward          | 340         |
|    collision            | 0           |
|    crash_object         | 0           |
|    crash_vehicle        | 0           |
|    episode_cost         | 0           |
|    episode_length       | 1500        |
|    jerk                 | 0.251       |
|    lane_deviation       | 0.361       |
|    max_lane_deviation   | 1.85        |
|    mean_speed_kmh       | 12.4        |
|    min_ttc              | 2.11        |
|    out_of_road          | 0           |
|    route_completion     | 0.845       |
|    shaped_reward        | 340         |
|    steering_variation   | 0.69        |
|    success              | 0           |
|    ttc_risk             | 0.00342     |
| rollout/                |             |
|    ep_len_mean          | 1.18e+03    |
|    ep_rew_mean          | 128         |
|    success_rate         | 0.07        |
| time/                   |             |
|    fps                  | 995         |
|    iterations           | 15          |
|    time_elapsed         | 246         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.013277967 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.29       |
|    explained_variance   | 0.507       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.04        |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00535    |
|    std                  | 0.755       |
|    value_loss           | 3.31        |
-----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.249       |
|    base_reward          | 188         |
|    collision            | 1           |
|    crash_object         | 0           |
|    crash_vehicle        | 1           |
|    episode_cost         | 1           |
|    episode_length       | 696         |
|    jerk                 | 0.229       |
|    lane_deviation       | 0.388       |
|    max_lane_deviation   | 1.35        |
|    mean_speed_kmh       | 16.3        |
|    min_ttc              | 0.802       |
|    out_of_road          | 0           |
|    route_completion     | 0.683       |
|    shaped_reward        | 188         |
|    steering_variation   | 0.697       |
|    success              | 0           |
|    ttc_risk             | 0.00451     |
| rollout/                |             |
|    ep_len_mean          | 1.13e+03    |
|    ep_rew_mean          | 169         |
|    success_rate         | 0.11        |
| time/                   |             |
|    fps                  | 975         |
|    iterations           | 16          |
|    time_elapsed         | 268         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.013370297 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.23       |
|    explained_variance   | 0.578       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.44        |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00861    |
|    std                  | 0.728       |
|    value_loss           | 3.77        |
-----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.24        |
|    base_reward          | 250         |
|    collision            | 1           |
|    crash_object         | 0           |
|    crash_vehicle        | 1           |
|    episode_cost         | 1           |
|    episode_length       | 777         |
|    jerk                 | 0.218       |
|    lane_deviation       | 0.453       |
|    max_lane_deviation   | 2           |
|    mean_speed_kmh       | 20          |
|    min_ttc              | 0.408       |
|    out_of_road          | 0           |
|    route_completion     | 0.658       |
|    shaped_reward        | 250         |
|    steering_variation   | 0.651       |
|    success              | 0           |
|    ttc_risk             | 0.0213      |
| rollout/                |             |
|    ep_len_mean          | 980         |
|    ep_rew_mean          | 205         |
|    success_rate         | 0.14        |
| time/                   |             |
|    fps                  | 957         |
|    iterations           | 17          |
|    time_elapsed         | 290         |
|    total_timesteps      | 278528      |
| train/                  |             |
|    approx_kl            | 0.040167555 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.17       |
|    explained_variance   | 0.56        |
|    learning_rate        | 0.0003      |
|    loss                 | 3.02        |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.000692   |
|    std                  | 0.71        |
|    value_loss           | 6.61        |
-----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.242       |
|    base_reward          | 34.5        |
|    collision            | 1           |
|    crash_object         | 0           |
|    crash_vehicle        | 1           |
|    episode_cost         | 1           |
|    episode_length       | 126         |
|    jerk                 | 0.206       |
|    lane_deviation       | 0.167       |
|    max_lane_deviation   | 0.384       |
|    mean_speed_kmh       | 15.3        |
|    min_ttc              | 0.399       |
|    out_of_road          | 0           |
|    route_completion     | 0.0792      |
|    shaped_reward        | 34.5        |
|    steering_variation   | 0.669       |
|    success              | 0           |
|    ttc_risk             | 0.0214      |
| rollout/                |             |
|    ep_len_mean          | 841         |
|    ep_rew_mean          | 221         |
|    success_rate         | 0.22        |
| time/                   |             |
|    fps                  | 944         |
|    iterations           | 18          |
|    time_elapsed         | 312         |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.007956563 |
|    clip_fraction        | 0.124       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.12       |
|    explained_variance   | 0.52        |
|    learning_rate        | 0.0003      |
|    loss                 | 3.81        |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.00488    |
|    std                  | 0.695       |
|    value_loss           | 10.6        |
-----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.201       |
|    base_reward          | 102         |
|    collision            | 0           |
|    crash_object         | 0           |
|    crash_vehicle        | 0           |
|    episode_cost         | 1           |
|    episode_length       | 340         |
|    jerk                 | 0.177       |
|    lane_deviation       | 0.391       |
|    max_lane_deviation   | 1.6         |
|    mean_speed_kmh       | 19.3        |
|    min_ttc              | 7.93        |
|    out_of_road          | 1           |
|    route_completion     | 0.288       |
|    shaped_reward        | 102         |
|    steering_variation   | 0.632       |
|    success              | 0           |
|    ttc_risk             | 0           |
| rollout/                |             |
|    ep_len_mean          | 770         |
|    ep_rew_mean          | 230         |
|    success_rate         | 0.26        |
| time/                   |             |
|    fps                  | 911         |
|    iterations           | 19          |
|    time_elapsed         | 341         |
|    total_timesteps      | 311296      |
| train/                  |             |
|    approx_kl            | 0.007893756 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.08       |
|    explained_variance   | 0.602       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.99        |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0019     |
|    std                  | 0.677       |
|    value_loss           | 8.97        |
-----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.228       |
|    base_reward          | 324         |
|    collision            | 1           |
|    crash_object         | 0           |
|    crash_vehicle        | 1           |
|    episode_cost         | 1           |
|    episode_length       | 790         |
|    jerk                 | 0.206       |
|    lane_deviation       | 0.353       |
|    max_lane_deviation   | 0.985       |
|    mean_speed_kmh       | 22.7        |
|    min_ttc              | 0.785       |
|    out_of_road          | 0           |
|    route_completion     | 0.704       |
|    shaped_reward        | 324         |
|    steering_variation   | 0.607       |
|    success              | 0           |
|    ttc_risk             | 0.0348      |
| rollout/                |             |
|    ep_len_mean          | 676         |
|    ep_rew_mean          | 227         |
|    success_rate         | 0.27        |
| time/                   |             |
|    fps                  | 896         |
|    iterations           | 20          |
|    time_elapsed         | 365         |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.018139897 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.02       |
|    explained_variance   | 0.609       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.23        |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.00181    |
|    std                  | 0.658       |
|    value_loss           | 11.1        |
-----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.199       |
|    base_reward          | 345         |
|    collision            | 0           |
|    crash_object         | 0           |
|    crash_vehicle        | 0           |
|    episode_cost         | 0           |
|    episode_length       | 742         |
|    jerk                 | 0.175       |
|    lane_deviation       | 0.382       |
|    max_lane_deviation   | 1.34        |
|    mean_speed_kmh       | 24.9        |
|    min_ttc              | 3.32        |
|    out_of_road          | 0           |
|    route_completion     | 0.991       |
|    shaped_reward        | 345         |
|    steering_variation   | 0.613       |
|    success              | 1           |
|    ttc_risk             | 0.00659     |
| rollout/                |             |
|    ep_len_mean          | 655         |
|    ep_rew_mean          | 242         |
|    success_rate         | 0.33        |
| time/                   |             |
|    fps                  | 887         |
|    iterations           | 21          |
|    time_elapsed         | 387         |
|    total_timesteps      | 344064      |
| train/                  |             |
|    approx_kl            | 0.012378858 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.98       |
|    explained_variance   | 0.624       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.7         |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.000708   |
|    std                  | 0.644       |
|    value_loss           | 11.6        |
-----------------------------------------
----------------------------------------
| paper/                  |            |
|    accel_variation      | 0.217      |
|    base_reward          | 241        |
|    collision            | 1          |
|    crash_object         | 0          |
|    crash_vehicle        | 1          |
|    episode_cost         | 1          |
|    episode_length       | 473        |
|    jerk                 | 0.204      |
|    lane_deviation       | 0.274      |
|    max_lane_deviation   | 0.984      |
|    mean_speed_kmh       | 25.4       |
|    min_ttc              | 0.681      |
|    out_of_road          | 0          |
|    route_completion     | 0.61       |
|    shaped_reward        | 241        |
|    steering_variation   | 0.632      |
|    success              | 0          |
|    ttc_risk             | 0.0326     |
| rollout/                |            |
|    ep_len_mean          | 612        |
|    ep_rew_mean          | 242        |
|    success_rate         | 0.32       |
| time/                   |            |
|    fps                  | 876        |
|    iterations           | 22         |
|    time_elapsed         | 411        |
|    total_timesteps      | 360448     |
| train/                  |            |
|    approx_kl            | 0.01084153 |
|    clip_fraction        | 0.14       |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.93      |
|    explained_variance   | 0.625      |
|    learning_rate        | 0.0003     |
|    loss                 | 6.25       |
|    n_updates            | 210        |
|    policy_gradient_loss | -0.00149   |
|    std                  | 0.628      |
|    value_loss           | 13.6       |
----------------------------------------
-----------------------------------------
| paper/                  |             |
|    accel_variation      | 0.207       |
|    base_reward          | 252         |
|    collision            | 1           |
